"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"1664","Márokföld","Szabó István László","Független","Magyar Kálmán","Független","község","Zala","Lenti","744",49,"40",0,NA,NA
"1665","Márokpapi","Hibály István","Független","Insticei Zoltán Tibor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","2118",451,"222",1,"LHHK",1
"1666","Maroslele","Martonosi György","Független","Martonosi György","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Csongrád","Makói","4656",2036,"939",1,"HH",1
"1667","Mártély","Balogh Jánosné","Független","Balogh Jánosné","Független","község","Csongrád","Hódmezővásárhelyi","3645",1349,"572",0,"HH",1
"1668","Martfű","Bakonyi Péter","Független","Bakonyi Péter","Független","város","Jász-Nagykun-Szolnok","Szolnoki","2308",6521,"2928",0,NA,NA
"1669","Martonfa","Vörös Attila","Független","Vörös Attila","Független","község","Baranya","Pécsváradi","569",205,"83",0,"HH",1
"1670","Martonvásár","Szabó Tibor","Fidesz - Magyar Polgári Szövetség","Kiss Gábor László","MAGYAR SZOCIALISTA PÁRT","város","Fejér","Ercsi","3125",5740,"1966",0,NA,NA
"1671","Martonyi","Vécsei István","Független","Drencsán Balázs Péter","Független","község","Borsod-Abaúj-Zemplén","Edelényi","1757",392,"182",1,"LHHK",1
"1672","Mátészalka","Szabó István","Fidesz - Magyar Polgári Szövetség","Szabó István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Szabolcs-Szatmár-Bereg","Mátészalkai","4140",17086,"7047",1,"LHHK",1
"1673","Mátételke","Bényi Józsefné","Független","Bényi Józsefné","Független","község","Bács-Kiskun","Bácsalmási","2793",518,"298",0,"LHHK",1
"1674","Mátraballa","Forgó János László","Független","Forgó János László","Független","község","Heves","Pétervásárai","2636",729,"423",0,"LHH",1
"1675","Mátraderecske","Forgó Gábor","Fidesz - Magyar Polgári Szövetség","Zám Ferenc","Független","község","Heves","Pétervásárai","1399",1886,"995",1,"LHH",1
"1676","Mátramindszent","Horváth János","Fidesz - Magyar Polgári Szövetség","Molnár Gábor","Független","község","Nógrád","Bátonyterenyei","1673",812,"447",1,"LHHK",1
"1677","Mátranovák","Bodor Ernőné","Független","Földi Gyula","Független","község","Nógrád","Bátonyterenyei","2697",1724,"1110",1,"LHHK",1
"1678","Mátraszele",NA,NA,"Vincze László","Független","község","Nógrád","Salgótarjáni","1697",1024,"470",1,"LHH",1
"1679","Mátraszentimre","Stuller András József","Független","Stuller András","Független","község","Heves","Gyöngyösi","2129",465,"272",0,NA,NA
"1680","Mátraszőlős","Tóth Gyula","Független","Tóth Gyula","Független","község","Nógrád","Pásztói","2916",1610,"681",1,"HH",1
"1681","Mátraterenye","Gecse László","Független","Gecse László GAV","MAGYAR SZOCIALISTA PÁRT","község","Nógrád","Bátonyterenyei","2813",1771,"898",1,"LHHK",1
"1682","Mátraverebély","Seres Mária","CIVIL MOZGALOM EGYESÜLET","Nagy Attila","MAGYAR SZOCIALISTA PÁRT","község","Nógrád","Bátonyterenyei","1840",2068,"875",1,"LHHK",1
"1683","Mátyásdomb","Tilhof István","Független","Tilhof István","Független","község","Fejér","Enyingi","3539",733,"283",0,"HH",1
"1684","Matty","Fallerné Knopf Zita","Fidesz - Magyar Polgári Szövetség","Fallerné Knopf Zita","Független","község","Baranya","Siklósi","1690",342,"147",0,"HH",1
"1685","Mátyus","Varga Gyula","Független","Varga Gyula","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","1103",296,"145",0,"LHHK",1
"1686","Máza","Pecze Gábor","Független","Pecze Gábor","Független","község","Baranya","Komlói","1069",1237,"486",1,"HH",1
"1687","Mecseknádasd","Wekler Ferenc","Független","Wekler Ferenc","Független","község","Baranya","Pécsváradi","3608",1513,"635",0,"HH",1
"1688","Mecsekpölöske","Papp István","Független","Kürti József","Független","község","Baranya","Komlói","731",420,"154",0,"HH",1
"1689","Mecsér","Csaplár Zoltán Imre","Független","Gerháth Zoltán","Független","község","Győr-Moson-Sopron","Mosonmagyaróvári","2109",589,"296",0,NA,NA
"1690","Medgyesbodzás","Krucsai József","Fidesz - Magyar Polgári Szövetség","Varga Gábor","Független","község","Békés","Mezőkovácsházai","3167",1073,"593",0,"LHHK",1
"1691","Medgyesegyháza","Ruck Márton","Fidesz - Magyar Polgári Szövetség","Nagy Béla","SZDSZ- A MAGYAR LIBERÁLIS PÁRT","város","Békés","Mezőkovácsházai","6429",3711,"1870",0,"LHHK",1
"1692","Medina",NA,NA,"Szalai László","Független","község","Tolna","Szekszárdi","2224",821,"349",1,NA,NA
"1693","Megyaszó","Csáki Barnabás","Független","Csáki Barnabás","Független","község","Borsod-Abaúj-Zemplén","Szerencsi","5342",2760,"922",0,"LHHK",1
"1694","Megyehíd","Süle Lajosné","Független","Farkas Miklós","Független","község","Vas","Sárvári","599",330,"124",0,NA,NA
"1695","Megyer","Pajer Kristóf László","Független","Pajer Kristóf László","Független","község","Veszprém","Sümegi","426",13,"25",0,"HH",1
"1696","Meggyeskovácsi","Kondora Tihamér","Független","Gerencsér Antal","Független","község","Vas","Sárvári","2464",709,"329",1,NA,NA
"1697","Méhkerék",NA,NA,"Martyin Tivadar","MAGYAR SZOCIALISTA PÁRT","község","Békés","Sarkadi","2585",2071,"881",1,"LHHK",1
"1698","Méhtelek","Czuprák László","Fidesz - Magyar Polgári Szövetség","Máté Béla","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","862",666,"279",0,"LHHK",1
"1699","Mekényes","Major Ottó","Független","László-Legedi Jánosné","Független","község","Baranya","Sásdi","1777",263,"146",1,"LHHK",1
"1700","Mélykút","Kovács Tamás","Fidesz - Magyar Polgári Szövetség","Gelányi János","MAGYAR DEMOKRATA FÓRUM","város","Bács-Kiskun","Jánoshalmai","12346",5196,"2918",1,"LHHK",1
"1701","Mencshely","Loványi Róbert Benedek","Független","Tóbiás Ilona","Független","község","Veszprém","Veszprémi","1261",255,"122",1,NA,NA
"1702","Mende","Kaszanyi József","Független","Trefák Istvánné","Független","község","Pest","Nagykátai","2715",4224,"1505",1,NA,NA
"1703","Méra","Timár Herbert","Független","Horváth László","Független","község","Borsod-Abaúj-Zemplén","Encsi","1511",1754,"598",1,"LHHK",1
"1704","Merenye","Verkman István","Független","Horváth József","Független","község","Baranya","Szigetvári","1447",273,"124",1,"LHHK",1
"1705","Mérges","Balázs Vince","Független","Balázs Vince","Független","község","Győr-Moson-Sopron","Téti","651",74,"54",0,"HH",2
"1706","Mérk","Müller Istvánné","Kereszténydemokrata Néppárt","Kárpáti István","Független","nagyközség","Szabolcs-Szatmár-Bereg","Mátészalkai","2508",2094,"817",1,"LHHK",1
"1707","Mernye","Kisfalusi András","Független","Kisfalusi András","Független","község","Somogy","Kaposvári","2593",1433,"566",0,"HH",1
"1708","Mersevát","Csillag Albert","Független","Csillag Albert","Független","község","Vas","Celldömölki","1054",567,"231",0,"HH",2
"1709","Mesterháza","Marton István Sándor","Független","Marton István Sándor","Független","község","Vas","Csepregi","419",145,"81",0,NA,NA
"1710","Mesteri","Lórántfy Tibor","Független","Fehérné Bokányi Judit Vilma","Független","község","Vas","Celldömölki","1169",236,"155",0,"HH",2
"1711","Mesterszállás","Kiss Gábor","Független","Kiss Gábor","Független","község","Jász-Nagykun-Szolnok","Mezőtúri","4292",698,"393",0,"HH",1
"1712","Meszes","Rozgonyi Tibor","Független","Rákiné Czidor Katalin","Független","község","Borsod-Abaúj-Zemplén","Edelényi","1140",153,"117",0,"LHHK",1
"1713","Meszlen",NA,NA,"Konczné Molnár Margit","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Vas","Szombathelyi","1202",214,"99",0,NA,NA
"1714","Mesztegnyő","Nagy László Péter","Független","Nemes László","Független","község","Somogy","Marcali","4471",1393,"558",0,"HH",1
"1715","Mezőberény","Siklósi István","Független","Cservenák Pál Miklós","Független","város","Békés","Békési","11853",11121,"4623",1,"LHH",1
"1716","Mezőcsát","Domján László István","Független","Domján László István","Független","város","Borsod-Abaúj-Zemplén","Mezőcsáti","10308",5993,"2493",1,"LHHK",1
"1717","Mezőcsokonya","Decsi József","Független","Decsi József","Független","község","Somogy","Kaposvári","3078",1251,"456",1,"HH",1
"1718","Meződ","Merk Zsolt","Független","Kóbor Gyula","Független","község","Baranya","Sásdi","1041",123,"75",0,"LHHK",1
"1719","Mezőfalva","Márok Csaba László","Független","Márok Csaba László","Független","nagyközség","Fejér","Dunaújvárosi","8042",4699,"1733",1,NA,NA
"1720","Mezőgyán","Zsoldos Zoltán","Független","Zsoldos Zoltán","Független","község","Békés","Sarkadi","5987",1066,"550",1,"LHHK",1
"1721","Mezőhegyes","Kovácsné Dr. Faltin Erzsébet","Független","Csanádi István","Független","város","Békés","Mezőkovácsházai","15544",5134,"2900",0,"LHHK",1
"1722","Mezőhék","Fórizs Ágnes Karolina","Független","Fórizs Ágnes Karolina","Független","község","Jász-Nagykun-Szolnok","Mezőtúri","8982",326,"203",0,"HH",4
"1723","Mezőkeresztes","Dózsa György Béla","Független","Dózsa György Béla","Független","város","Borsod-Abaúj-Zemplén","Mezőkövesdi","7425",3891,"1759",1,"HH",1
"1724","Mezőkomárom","Mohai János","Független","Mohai János","POLGÁRMESTEREK FEJÉR MEGYÉÉRT","község","Fejér","Enyingi","2905",924,"413",0,"HH",1
"1725","Mezőkovácsháza","Turcsán Zsolt Attila","Független","Bakos István Géza","Független","város","Békés","Mezőkovácsházai","6259",6085,"2960",0,"LHHK",1
"1726","Mezőkövesd","Fekete Zoltán","Fidesz - Magyar Polgári Szövetség","Tállai András","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Borsod-Abaúj-Zemplén","Mezőkövesdi","10049",16607,"7566",1,"HH",1
"1727","Mezőladány",NA,NA,"Bakó Ferenc","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Kisvárdai","1404",990,"362",1,"HH",1
"1728","Mezőlak","Nagy Gábor","Független","Szabó László","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Veszprém","Pápai","2158",1040,"391",1,NA,NA
"1729","Mezőnagymihály","Vályi László","Fidesz - Magyar Polgári Szövetség","Juhász János","Független","község","Borsod-Abaúj-Zemplén","Mezőkövesdi","6187",1021,"539",0,"HH",1
"1730","Mezőnyárád","Horváth László György","Független","Sárosi Ferenc","Független","község","Borsod-Abaúj-Zemplén","Mezőkövesdi","1407",1548,"693",0,"HH",1
"1731","Mezőörs","Farkasdi Károly","Független","Bogárdi Zoltán","Független","község","Győr-Moson-Sopron","Győri","4847",1019,"337",0,NA,NA
"1732","Mezőpeterd",NA,NA,"Pap Miklós","Független","község","Hajdú-Bihar","Berettyóújfalui","1823",505,"270",1,"LHHK",1
"1733","Mezősas","Könyves-Balázsházi Ella","Független","Bagdi Lajos János","Független","község","Hajdú-Bihar","Berettyóújfalui","2639",595,"310",1,"LHHK",1
"1734","Mezőszemere","Bukta Gábor","Független","Bukta Gábor","Független","község","Heves","Füzesabonyi","2148",1233,"615",0,"HH",1
"1735","Mezőszentgyörgy","Berta József","Független","Berta József","Független","község","Fejér","Enyingi","2712",1309,"468",0,"HH",1
"1736","Mezőszilas","Magyar József","MAGYAR SZOCIALISTA PÁRT","Magyar József","MAGYAR SZOCIALISTA PÁRT","község","Fejér","Sárbogárdi","6497",2042,"843",0,"HH",1
"1737","Mezőtárkány","Tóthné Szabó Anita","Fidesz - Magyar Polgári Szövetség","Tóthné Szabó Anita","Független","község","Heves","Füzesabonyi","4064",1600,"738",1,"HH",1
"1738","Mezőtúr","Herczeg Zsolt","Fidesz - Magyar Polgári Szövetség","Draskovits Dénes","MAGYAR SZOCIALISTA PÁRT","város","Jász-Nagykun-Szolnok","Mezőtúri","28972",17620,"7824",0,"HH",1
"1739","Mezőzombor","Radó Béla","Független","Biró Ferenc","Független","község","Borsod-Abaúj-Zemplén","Szerencsi","3878",2434,"902",1,"LHHK",1
"1740","Miháld","Mándó Tibor","Független","Mándó Tibor","Független","község","Zala","Zalakarosi","2164",851,"378",0,"HH",1
"1741","Mihályfa","Sélley Géza","Független","Keresztesné Tóth Éva Mária","Független","község","Zala","Zalaszentgróti","1207",384,"182",0,"HH",1
"1742","Mihálygerge","Szikoráné Sebestyén Katalin","Független","Szikoráné Sebestyén Katalin","Független","község","Nógrád","Salgótarjáni","1106",569,"309",1,"LHH",1
"1743","Mihályháza","Mészáros Géza","Független","Mészáros Géza","Független","község","Veszprém","Pápai","2152",737,"317",1,NA,NA
"1744","Mihályi","Csitei Gábor","Fidesz - Magyar Polgári Szövetség","Pap Lajosné","Független","község","Győr-Moson-Sopron","Kapuvár-Beledi","1628",1058,"475",0,NA,NA
"1745","Mike","Tóth Árpád","Független","Tóth Árpád","Független","község","Somogy","Kadarkúti","3241",641,"251",1,"LHHK",1
"1746","Mikebuda","Vass Andrásné","Független","Vass Andrásné","Független","község","Pest","Ceglédi","4217",697,"352",0,NA,NA
"1747","Mikekarácsonyfa","Szabó Józsefné","Független","Szabó Józsefné","Független","község","Zala","Lenti","850",269,"146",0,NA,NA
"1748","Mikepércs","Timár Zoltán","Fidesz - Magyar Polgári Szövetség","Timár Zoltán","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Hajdú-Bihar","Debreceni","3693",4388,"1260",1,NA,NA
"1749","Miklósi","Kristóf Györgyi","Független","Kristóf Györgyi","Független","község","Somogy","Tabi","1047",232,"124",0,"LHH",1
"1750","Mikófalva","Kelemen Károly","Független","Kelemen Károly","Független","község","Heves","Bélapátfalvai","1441",731,"317",0,"HH",1
"1751","Mikóháza","Frankó Tamás","Független","Frankó Tamás","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","1692",572,"238",1,"HH",1
"1752","Mikosszéplak","Horváth István","Független","Horváth István","Független","község","Vas","Vasvári","1866",321,"159",0,"HH",1
"1753","Milejszeg","Egyedné Salamon Mária","Független","Szekér Jenő","Független","község","Zala","Zalaegerszegi","908",364,"162",0,NA,NA
"1754","Milota",NA,NA,"Klapka György","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1539",816,"322",1,"LHHK",1
"1755","Mindszent","Zsótér Károly","Független","Zsótér István","Független","város","Csongrád","Hódmezővásárhelyi","5935",6772,"3182",1,"HH",1
"1756","Mindszentgodisa","Bimbó István","Független","Bimbó István","Független","község","Baranya","Sásdi","2297",874,"386",1,"HH",4
"1757","Mindszentkálla","Keszler Gyula","Független","Keszler Gyula","Független","község","Veszprém","Tapolcai","1084",289,"144",0,"HH",2
"1758","Misefa","Henczi Béla","Független","Henczi Béla","Független","község","Zala","Pacsai","651",298,"120",0,"HH",1
"1759","Miske","Illés Attila Ádám","Fidesz - Magyar Polgári Szövetség","Illés Attila Ádám","Független","község","Bács-Kiskun","Kalocsai","4227",1683,"758",0,"HH",1
"1760","Miskolc","Kriza Ákos","Fidesz - Magyar Polgári Szövetség","Káli Sándor","MAGYAR SZOCIALISTA PÁRT","megyeszékhely, megyei jogú város","Borsod-Abaúj-Zemplén","Miskolci","23666",168075,"76053",1,NA,NA
"1761","Miszla",NA,NA,"Baksa János Id.","Független","község","Tolna","Tamási","3471",271,"185",0,"LHHK",1
"1762","Mocsa","Marschall Ferenc","Független","Áy József","Független","község","Komárom-Esztergom","Komáromi","6721",2146,"832",0,NA,NA
"1763","Mogyoród","Babicz László","Fidesz - Magyar Polgári Szövetség","Babicz László","Független","nagyközség","Pest","Dunakeszi","3448",6264,"2045",0,"HH",4
"1764","Mogyorósbánya","Havrancsik Tibor Mihály","Független","Havrancsik Tibor","Független","község","Komárom-Esztergom","Esztergomi","732",888,"315",0,NA,NA
"1765","Mogyoróska","Hegedűs Zoltán","Független","Hegedűs Zoltán","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","1917",70,"73",0,"LHHK",1
"1766","Moha",NA,NA,"Kovács Sándorné","Független","község","Fejér","Székesfehérvári","988",553,"185",0,NA,NA
"1767","Mohács","Szekó József","Fidesz - Magyar Polgári Szövetség","Szekó József","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Baranya","Mohácsi","11223",18884,"8737",1,"HH",1
"1768","Mohora","Fridrich Béla","Független","Fajcsik József","Független","község","Nógrád","Balassagyarmati","1595",928,"381",1,"HH",2
"1769","Molnári","Vuk István","Független","Vuk István","Független","község","Zala","Letenyei","1286",697,"272",0,"HH",1
"1770","Molnaszecsőd","Varga Gyula","Független","Varga Gyula","Független","község","Vas","Körmendi","1169",433,"174",0,NA,NA
"1771","Molvány","Horváth Lajos","Független","Horváth Lajos","Független","község","Baranya","Szigetvári","1376",188,"78",0,"LHHK",1
"1772","Monaj","Taskó László","Független","Taskó László","Független","község","Borsod-Abaúj-Zemplén","Szikszói","1157",235,"108",0,"LHHK",1
"1773","Monok","Demeterné Bártfay Emese","Fidesz - Magyar Polgári Szövetség","Szepesi Zsolt László","Független","község","Borsod-Abaúj-Zemplén","Szerencsi","4198",1583,"807",1,"LHHK",1
"1774","Monor","Pogácsás Tibor János","Fidesz - Magyar Polgári Szövetség","Pogácsás Tibor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Pest","Monori","4679",18465,"6556",1,NA,NA
"1775","Monorierdő","Juhász Sándor","Független","Juhász Sándor","Független","község","Pest","Monori","1507",3582,"1355",0,NA,NA
"1776","Mónosbél","Varga Sándorné","Független","Varga Sándorné","Független","község","Heves","Bélapátfalvai","1378",440,"150",0,"HH",1
"1777","Monostorapáti","Hárshegyi József Gyula","Független","Hárshegyi József Gyula","Független","község","Veszprém","Tapolcai","2559",1090,"476",1,"HH",2
"1778","Monostorpályi","Szabó József","Független","Vágó András Sándor","Független","község","Hajdú-Bihar","Derecske-Létavértesi","4444",2124,"963",0,"LHH",1
"1779","Monoszló","Simon György","Független","Simon György","Független","község","Veszprém","Balatonfüredi","746",129,"67",0,NA,NA
"1780","Monyoród","Horváth György","Független","Horváth György","Független","község","Baranya","Mohácsi","712",184,"99",0,"HH",1
"1781","Mór","Fenyves Péter","Fidesz - Magyar Polgári Szövetség","Fenyves Péter","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Fejér","Móri","10861",14247,"5690",0,NA,NA
"1782","Mórágy",NA,NA,"Garay János","Független","község","Tolna","Bonyhádi","1762",720,"281",1,NA,NA
"1783","Mórahalom","Nógrádi Zoltán","Fidesz - Magyar Polgári Szövetség","Nógrádi Zoltán","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Csongrád","Mórahalomi","8315",6090,"2641",0,"LHH",1
"1784","Móricgát","Csontos Máté László","Független","Csontos Máté László","Független","község","Bács-Kiskun","Kiskunmajsai","3289",483,"378",0,"HH",1
"1785","Mórichida",NA,NA,"Ihász László","Független","község","Győr-Moson-Sopron","Téti","3230",815,"363",0,"HH",2
"1786","Mosdós","Keresztes József","Fidesz - Magyar Polgári Szövetség","Keresztes József","Független","község","Somogy","Kaposvári","1695",1007,"331",1,"HH",1
"1787","Mosonmagyaróvár","Nagy István","Fidesz - Magyar Polgári Szövetség","Szabó Miklós","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Győr-Moson-Sopron","Mosonmagyaróvári","8411",32493,"12818",1,NA,NA
"1788","Mosonszentmiklós",NA,NA,NA,NA,"község","Győr-Moson-Sopron","Mosonmagyaróvári","3071",2270,"962",0,NA,NA
"1789","Mosonszolnok","Török Sándor","Független","Török Sándor","Független","község","Győr-Moson-Sopron","Mosonmagyaróvári","4392",1651,"561",0,NA,NA
"1790","Mosonudvar",NA,NA,NA,NA,"község","Győr-Moson-Sopron","Mosonmagyaróvári","125",489,"148",0,NA,NA
"1791","Mozsgó","Kovács Zsolt Vilmos","Független","Ölbei Mihály Zoltán","Független","község","Baranya","Szigetvári","2176",1023,"351",1,"LHHK",1
"1792","Mőcsény","Krachun Elemér","Független","Krachun Elemér","Független","község","Tolna","Bonyhádi","1215",347,"149",0,NA,NA
"1793","Mucsfa","Müller János","Független","Müller János","Független","község","Tolna","Bonyhádi","1275",406,"150",0,NA,NA
"1794","Mucsi","Binder Kornél","Független","Binder Kornél","Független","község","Tolna","Tamási","2476",453,"219",0,"LHHK",1
"1795","Múcsony","Viszlai Viktor","Független","Viszlai Viktor","Független","nagyközség","Borsod-Abaúj-Zemplén","Kazincbarcikai","1754",3165,"1211",1,"HH",1
"1796","Muhi","Czinglérné Tóth Gizella","Független","Czinglérné Tóth Gizella","Független","község","Borsod-Abaúj-Zemplén","Miskolci","962",536,"210",0,NA,NA
"1797","Murakeresztúr",NA,NA,"Pavlicz Lajos József","Független","község","Zala","Nagykanizsai","1171",1766,"693",1,NA,NA
"1798","Murarátka","Pál Józsefné","Független","Pál Józsefné","Független","község","Zala","Letenyei","1204",256,"134",1,"HH",1
"1799","Muraszemenye","Stefanec Mária Katalin","Független","Szirmai Attila László","Független","község","Zala","Letenyei","1615",652,"297",0,"HH",1
"1800","Murga","Felkl Márton","Független","Felkl Márton","Független","község","Tolna","Szekszárdi","659",52,"56",0,"HH",4
"1801","Murony","Fekete Ferenc Zoltán","Független","Fekete Ferenc Zoltán","Független","község","Békés","Békési","3570",1268,"576",0,"LHH",1
"1802","Nábrád","Varga Attila","Független","Varga Attila","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1768",872,"366",0,"LHHK",1
"1803","Nadap","Wagner Péter Gábor","Független","Wagner Péter Gábor","Független","község","Fejér","Gárdonyi","693",536,"246",0,NA,NA
"1804","Nádasd","Karvalits József Zoltán","Független","Karvalits József Zoltán","Független","község","Vas","Körmendi","3560",1301,"545",0,NA,NA
"1805","Nádasdladány","Varga Tünde","Független","Varga Tünde","Független","község","Fejér","Székesfehérvári","2635",1790,"632",0,NA,NA
"1806","Nádudvar","Beke Imre","Független","Beke Imre","Független","város","Hajdú-Bihar","Püspökladányi","22591",8813,"3745",1,"LHH",1
"1807","Nágocs","Pap Imre","Független","Pál Imréné","Független","község","Somogy","Tabi","2226",656,"248",0,"LHH",1
"1808","Nagyacsád","Pillerné Dr. Raksányi Ildikó","Független","Szórád Zoltán","Független","község","Veszprém","Pápai","1396",646,"262",0,NA,NA
"1809","Nagyalásony","Csöngei Gábor","Független","Csöngei Gábor","Független","község","Veszprém","Devecseri","1401",479,"216",0,"HH",3
"1810","Nagyar","Tóthné Guti Ibolya","Független","Balogh Zoltán","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1599",692,"280",1,"LHHK",1
"1811","Nagyatád","Ormai István","NAGYATÁDÉRT EGYESÜLET","Ormai István","NAGYATÁDÉRT EGYESÜLET","város","Somogy","Nagyatádi","7060",10887,"5100",1,"HH",1
"1812","Nagybajcs","Huszár Imre","Független","Huszár Imre","Független","község","Győr-Moson-Sopron","Győri","765",909,"375",0,NA,NA
"1813","Nagybajom","Czeferner Józsefné","Független","Czeferner Józsefné","Független","város","Somogy","Kadarkúti","10806",3465,"1158",1,"LHHK",1
"1814","Nagybakónak","Molnár Józsefné","Független","Molnár Józsefné","Független","község","Zala","Nagykanizsai","1794",397,"227",1,NA,NA
"1815","Nagybánhegyes","Jancsó Ottó","Fidesz - Magyar Polgári Szövetség","Jancsó Ottó","Független","község","Békés","Mezőkovácsházai","4224",1144,"794",0,"LHHK",1
"1816","Nagybaracska","Király Sándor","Fidesz - Magyar Polgári Szövetség","Király Sándor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Bács-Kiskun","Bajai","3795",2230,"1030",1,"HH",2
"1817","Nagybarca","Vadnai Zoltán Géza","Független","Vadnai Zoltán Géza","Független","község","Borsod-Abaúj-Zemplén","Kazincbarcikai","1439",1097,"355",0,"HH",1
"1818","Nagybárkány","Dombovári Edina","Fidesz - Magyar Polgári Szövetség","Balya András","Független","község","Nógrád","Bátonyterenyei","884",647,"246",0,"LHHK",1
"1819","Nagyberény","Tóth András Károly","Független","Szentpéteri László","Független","község","Somogy","Siófoki","2314",1367,"604",1,NA,NA
"1820","Nagyberki","Komár András János","Fidesz - Magyar Polgári Szövetség","Komár András","Független","község","Somogy","Kaposvári","2174",1442,"530",1,"HH",1
"1821","Nagybörzsöny","Antal Gyuláné","Független","Kempf Gyula","Független","község","Pest","Szobi","5069",782,"351",0,"HH",1
"1822","Nagybudmér","Tetz Ferenc","Független","Tetz Ferenc","Független","község","Baranya","Mohácsi","1022",207,"86",0,"HH",1
"1823","Nagycenk","Ivánkovics Ottó Ferenc","Fidesz - Magyar Polgári Szövetség","Ivánkovics Ottó","Független","nagyközség","Győr-Moson-Sopron","Sopron-Fertődi","1945",1920,"748",0,NA,NA
"1824","Nagycsány","Szigeti Tamás","Független","Dávid János","Független","község","Baranya","Sellyei","565",155,"53",0,"LHHK",1
"1825","Nagycsécs","Gulyás Ottó","Független","Török Tibor","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","983",802,"294",1,"HH",4
"1826","Nagycsepely","Máj Károly József","Fidesz - Magyar Polgári Szövetség","Máj Károly József","Független","község","Somogy","Balatonföldvári","1980",375,"169",0,"HH",2
"1827","Nagycserkesz","Luzsinszki Lajos Lászlóné","Független","Luzsinszki Lajos Lászlóné","Független","község","Szabolcs-Szatmár-Bereg","Nyíregyházai","4148",1754,"684",0,"HH",4
"1828","Nagydém","Marics Lajos","Független","Marics Lajos","Független","község","Veszprém","Pápai","1332",358,"158",1,"HH",4
"1829","Nagydobos","Fonalka István Sándor","Független","Balogh József","Független","község","Szabolcs-Szatmár-Bereg","Mátészalkai","2693",2134,"753",1,"LHHK",1
"1830","Nagydobsza","Kovács János","Független","Kovács János","Független","község","Baranya","Szigetvári","1323",676,"224",1,"LHHK",1
"1831","Nagydorog","Veres Imre","Független","Dobri István","Független","nagyközség","Tolna","Paksi","4144",2673,"1116",1,NA,NA
"1832","Nagyecsed","Kovács Lajos","Független","Kovács Lajos","ÖSSZEFOGÁS SZABOLCS-SZATMÁR- BEREG MEGYE FELEMELKEDÉSÉÉRT SZÖVETSÉG","város","Szabolcs-Szatmár-Bereg","Mátészalkai","4385",6120,"2396",1,"LHHK",1
"1833","Nagyér","Lőrincz Tibor","Független","Lőrincz Tibor","Független","község","Csongrád","Makói","1229",496,"269",0,"HH",1
"1834","Nagyesztergár","Szelthofferné Németh Ilona","Független","Csaba Ferenc","Független","község","Veszprém","Zirci","1829",1224,"405",0,NA,NA
"1835","Nagyfüged","Juhász Jánosné","Független","Juhász Jánosné","Független","község","Heves","Gyöngyösi","2751",1923,"749",1,"HH",4
"1836","Nagygeresd","Németh Lajos","Független","Németh Lajos","Független","község","Vas","Csepregi","940",257,"154",0,NA,NA
"1837","Nagygörbő","Judi Oszkár","Független","Judi Oszkár","Független","község","Zala","Zalaszentgróti","745",185,"115",1,"HH",1
"1838","Nagygyimót","Szaller Zsolt","Független","Hársvölgyi Mária Terézia","Független","község","Veszprém","Pápai","2344",526,"250",0,NA,NA
"1839","Nagyhajmás","Molnár Norbert András","Független","Molnár Norbert András","Független","község","Baranya","Sásdi","1801",345,"148",1,"LHHK",1
"1840","Nagyhalász","Orosz Károly Zsolt","Független","Orosz Károly Zsolt","MAGYAR SZOCIALISTA PÁRT","város","Szabolcs-Szatmár-Bereg","Ibrány-Nagyhalászi","4431",5586,"1968",1,"LHH",1
"1841","Nagyharsány","Beregszászi József","Független","Balassa Gyula","Független","község","Baranya","Siklósi","2601",1538,"578",0,"HH",1
